Month,Fortified,Column1,,,,,,,,,,,,,,,,,,
Jan 2001,2585,January,,,,,,,,,,,,,,,,,,
Feb 2001,3368,February,,,,,,,,,,,,,,,,,,
Mar 2001,3210,March,,,,,,,,,,,,,,,,,,
Apr 2001,3111,April,,,,,,,,,,,,,,,,,,
May 2001,3756,May,,,,,,,,,,,,,,,,,,
Jun 2001,4216,June,,,,,,,,,,,,,,,,,,
Jul 2001,5225,July,,,,,,,,,,,,,,,,,,
Aug 2001,4426,August,,,,,,,,,,,,,,,,,,
Sep 2001,3932,September,,,,,,,,,,,,,,,,,,
Oct 2001,3816,October,,,,,,,,,,,,,,,,,,
Nov 2001,3661,November,,,,,,,,,,,,,,,,,,
Dec 2001,3795,December,,,,,,,,,,,,,,,,,,
Jan 2002,2285,January,,,,,,,,,,,,,,,,,,
Feb 2002,2934,February,,,,,,,,,,,,,,,,,,
Mar 2002,2985,March,,,,,,,,,,,,,,,,,,
Apr 2002,3646,April,,,,,,,,,,,,,,,,,,
May 2002,4198,May,,,,,,,,,,,,,,,,,,
Jun 2002,4935,June,,,,,,,,,,,,,,,,,,
Jul 2002,5618,July,,,,,,,,,,,,,,,,,,
Aug 2002,5454,August,,,,,,,,,,,,,,,,,,
Sep 2002,3624,September,,,,,,,,,,,,,,,,,,
Oct 2002,2898,October,,,,,,,,,,,,,,,,,,
Nov 2002,3802,November,,,,,,,,,,,,,,,,,,
Dec 2002,3629,December,,,,,,,,,,,,,,,,,,
Jan 2003,2369,January,,,,,,,,,,,,,,,,,,
Feb 2003,2511,February,,,,,,,,,,,,,,,,,,
Mar 2003,3079,March,,,,,,,,,,,,,,,,,,
Apr 2003,3728,April,,,,,,,,,,,,,,,,,,
May 2003,4151,May,,,,,,,,,,,,,,,,,,
Jun 2003,4326,June,,,,,,,,,,,,,,,,,,
Jul 2003,5054,July,,,,,,,,,,,,,,,,,,
Aug 2003,5138,August,,,,,,,,,,,,,,,,,,
Sep 2003,3310,September,,,,,,,,,,,,,,,,,,
Oct 2003,3508,October,,,,,,,,,,,,,,,,,,
Nov 2003,3790,November,,,,,,,,,,,,,,,,,,
Dec 2003,3446,December,,,,,,,,,,,,,,,,,,
Jan 2004,2127,January,,,,,,,,,,,,,,,,,,
Feb 2004,2523,February,,,,,,,,,,,,,,,,,,
Mar 2004,3017,March,,,,,,,,,,,,,,,,,,
Apr 2004,3265,April,,,,,,,,,,,,,,,,,,
May 2004,3822,May,,,,,,,,,,,,,,,,,,
Jun 2004,4027,June,,,,,,,,,,,,,,,,,,
Jul 2004,4420,July,,,,,,,,,,,,,,,,,,
Aug 2004,5255,August,,,,,,,,,,,,,,,,,,
Sep 2004,4009,September,,,,,,,,,,,,,,,,,,
Oct 2004,3074,October,,,,,,,,,,,,,,,,,,
Nov 2004,3465,November,,,,,,,,,,,,,,,,,,
Dec 2004,3718,December,,,,,,,,,,,,,,,,,,
Jan 2005,1954,January,,,,,,,,,,,,,,,,,,
Feb 2005,2604,February,,,,,,,,,,,,,,,,,,
Mar 2005,3626,March,,,,,,,,,,,,,,,,,,
Apr 2005,2836,April,,,,,,,,,,,,,,,,,,
May 2005,4042,May,,,,,,,,,,,,,,,,,,
Jun 2005,3584,June,,,,,,,,,,,,,,,,,,
Jul 2005,4225,July,,,,,,,,,,,,,,,,,,
Aug 2005,4523,August,,,,,,,,,,,,,,,,,,
Sep 2005,2892,September,,,,,,,,,,,,,,,,,,
Oct 2005,2876,October,,,,,,,,,,,,,,,,,,
Nov 2005,3420,November,,,,,,,,,,,,,,,,,,
Dec 2005,3159,December,,,,,,,,,,,,,,,,,,
Jan 2006,2101,January,,,,,,,,,,,,,,,,,,
Feb 2006,2181,February,,,,,,,,,,,,,,,,,,
Mar 2006,2724,March,,,,,,,,,,,,,,,,,,
Apr 2006,2954,April,,,,,,,,,,,,,,,,,,
May 2006,4092,May,,,,,,,,,,,,,,,,,,
Jun 2006,3470,June,,,,,,,,,,,,,,,,,,
Jul 2006,3990,July,,,,,,,,,,,,,,,,,,
Aug 2006,4239,August,,,,,,,,,,,,,,,,,,
Sep 2006,2855,September,,,,,,,,,,,,,,,,,,
Oct 2006,2897,October,,,,,,,,,,,,,,,,,,
Nov 2006,3433,November,,,,,,,,,,,,,,,,,,
Dec 2006,3307,December,,,,,,,,,,,,,,,,,,
Jan 2007,1914,January,,,,,,,,,,,,,,,,,,
Feb 2007,2214,February,,,,,,,,,,,,,,,,,,
Mar 2007,2320,March,,,,,,,,,,,,,,,,,,
Apr 2007,2714,April,,,,,,,,,,,,,,,,,,
May 2007,3633,May,,,,,,,,,,,,,,,,,,
Jun 2007,3295,June,,,,,,,,,,,,,,,,,,
Jul 2007,4377,July,,,,,,,,,,,,,,,,,,
Aug 2007,4442,August,,,,,,,,,,,,,,,,,,
Sep 2007,2774,September,,,,,,,,,,,,,,,,,,
Oct 2007,2840,October,,,,,,,,,,,,,,,,,,
Nov 2007,2828,November,,,,,,,,,,,,,,,,,,
Dec 2007,3758,December,,,,,,,,,,,,,,,,,,
Jan 2008,1610,January,,,,,,,,,,,,,,,,,,
Feb 2008,1968,February,,,,,,,,,,,,,,,,,,
Mar 2008,2248,March,,,,,,,,,,,,,,,,,,
Apr 2008,3262,April,,,,,,,,,,,,,,,,,,
May 2008,3164,May,,,,,,,,,,,,,,,,,,
Jun 2008,2972,June,,,,,,,,,,,,,,,,,,
Jul 2008,4041,July,,,,,,,,,,,,,,,,,,
Aug 2008,3402,August,,,,,,,,,,,,,,,,,,
Sep 2008,2898,September,,,,,,,,,,,,,,,,,,
Oct 2008,2555,October,,,,,,,,,,,,,,,,,,
Nov 2008,3056,November,,,,,,,,,,,,,,,,,,
Dec 2008,3717,December,,,,,,,,,,,,,,,,,,
Jan 2009,1755,January,,,,,,,,,,,,,,,,,,
Feb 2009,2193,February,,,,,,,,,,,,,,,,,,
Mar 2009,2198,March,,,,,,,,,,,,,,,,,,
Apr 2009,2777,April,,,,,,,,,,,,,,,,,,
May 2009,3076,May,,,,,,,,,,,,,,,,,,
Jun 2009,3389,June,,,,,,,,,,,,,,,,,,
Jul 2009,4231,July,,,,,,,,,,,,,,,,,,
Aug 2009,3118,August,,,,,,,,,,,,,,,,,,
Sep 2009,2524,September,,,,,,,,,,,,,,,,,,
Oct 2009,2280,October,,,,,,,,,,,,,,,,,,
Nov 2009,2862,November,,,,,,,,,,,,,,,,,,
Dec 2009,3502,December,,,,,,,,,,,,,,,,,,
Jan 2010,1558,January,,,,,,,,,,,,,,,,,,
Feb 2010,1940,February,,,,,,,,,,,,,,,,,,
Mar 2010,2226,March,,,,,,,,,,,,,,,,,,
Apr 2010,2676,April,,,,,,,,,,,,,,,,,,
May 2010,3145,May,,,,,,,,,,,,,,,,,,
Jun 2010,3224,June,,,,,,,,,,,,,,,,,,
Jul 2010,4117,July,,,,,,,,,,,,,,,,,,
Aug 2010,3446,August,,,,,,,,,,,,,,,,,,
Sep 2010,2482,September,,,,,,,,,,,,,,,,,,
Oct 2010,2349,October,,,,,,,,,,,,,,,,,,
Nov 2010,2986,November,,,,,,,,,,,,,,,,,,
Dec 2010,3163,December,,,,,,,,,,,,,,,,,,
Jan 2011,1651,January,,,,,,,,,,,,,,,,,,
Feb 2011,1725,February,,,,,,,,,,,,,,,,,,
Mar 2011,2622,March,,,,,,,,,,,,,,,,,,
Apr 2011,2316,April,,,,,,,,,,,,,,,,,,
May 2011,2976,May,,,,,,,,,,,,,,,,,,
Jun 2011,3263,June,,,,,,,,,,,,,,,,,,
Jul 2011,3951,July,,,,,,,,,,,,,,,,,,
Aug 2011,2917,August,,,,,,,,,,,,,,,,,,
Sep 2011,2380,September,,,,,,,,,,,,,,,,,,
Oct 2011,2458,October,,,,,,,,,,,,,,,,,,
Nov 2011,2883,November,,,,,,,,,,,,,,,,,,
Dec 2011,2579,December,,,,,,,,,,,,,,,,,,
Jan 2012,1330,January,,,,,,,,,,,,,,,,,,
Feb 2012,1686,February,,,,,,,,,,,,,,,,,,
Mar 2012,2457,March,,,,,,,,,,,,,,,,,,
Apr 2012,2514,April,,,,,,,,,,,,,,,,,,
May 2012,2834,May,,,,,,,,,,,,,,,,,,
Jun 2012,2757,June,,,,,,,,,,,,,,,,,,
Jul 2012,3425,July,,,,,,,,,,,,,,,,,,
Aug 2012,3006,August,,,,,,,,,,,,,,,,,,
Sep 2012,2369,September,,,,,,,,,,,,,,,,,,
Oct 2012,2017,October,,,,,,,,,,,,,,,,,,
Nov 2012,2507,November,,,,,,,,,,,,,,,,,,
Dec 2012,3168,December,,,,,,,,,,,,,,,,,,
Jan 2013,1545,January,,,,,,,,,,,,,,,,,,
Feb 2013,1643,February,,,,,,,,,,,,,,,,,,
Mar 2013,2112,March,,,,,,,,,,,,,,,,,,
Apr 2013,2415,April,,,,,,,,,,,,,,,,,,
May 2013,2862,May,,,,,,,,,,,,,,,,,,
Jun 2013,2822,June,,,,,,,,,,,,,,,,,,
Jul 2013,3260,July,,,,,,,,,,,,,,,,,,
Aug 2013,2606,August,,,,,,,,,,,,,,,,,,
Sep 2013,2264,September,,,,,,,,,,,,,,,,,,
Oct 2013,2250,October,,,,,,,,,,,,,,,,,,
Nov 2013,2545,November,,,,,,,,,,,,,,,,,,
Dec 2013,2856,December,,,,,,,,,,,,,,,,,,
Jan 2014,1208,January,,,,,,,,,,,,,,,,,,
Feb 2014,1412,February,,,,,,,,,,,,,,,,,,
Mar 2014,1964,March,,,,,,,,,,,,,,,,,,
Apr 2014,2018,April,,,,,,,,,,,,,,,,,,
May 2014,2329,May,,,,,,,,,,,,,,,,,,
Jun 2014,2660,June,,,,,,,,,,,,,,,,,,
Jul 2014,2923,July,,,,,,,,,,,,,,,,,,
Aug 2014,2626,August,,,,,,,,,,,,,,,,,,
Sep 2014,2132,September,,,,,,,,,,,,,,,,,,
Oct 2014,1772,October,,,,,,,,,,,,,,,,,,
Nov 2014,2526,November,,,,,,,,,,,,,,,,,,
Dec 2014,2755,December,,,,,,,,,,,,,,,,,,
Jan 2015,1154,January,,,,,,,,,,,,,,,,,,
Feb 2015,1568,February,,,,,,,,,,,,,,,,,,
Mar 2015,1965,March,,,,,,,,,,,,,,,,,,
Apr 2015,2659,April,,,,,,,,,,,,,,,,,,
May 2015,2354,May,,,,,,,,,,,,,,,,,,
Jun 2015,2592,June,,,,,,,,,,,,,,,,,,
Jul 2015,2714,July,,,,,,,,,,,,,,,,,,
Aug 2015,2294,August,,,,,,,,,,,,,,,,,,
Sep 2015,2416,September,,,,,,,,,,,,,,,,,,
Oct 2015,2016,October,,,,,,,,,,,,,,,,,,
Nov 2015,2799,November,,,,,,,,,,,,,,,,,,
Dec 2015,2467,December,,,,,,,,,,,,,,,,,,
